timestamp,open,high,low,close,volume,amount
2024-04-09,3498.34,3500.07,3497.23,3500.07,486123,1701463401.32
2024-04-10,3520.78,3530.64,3507.95,3517.77,116663,410393555.72
2024-04-11,3529.62,3530.93,3527.3,3529.56,204248,720905375.39
2024-04-12,3526.62,3541.81,3517.06,3530.85,245852,868065996.95
2024-04-15,3534.95,3536.02,3529.63,3529.63,278389,982611542.84
2024-04-16,3531.78,3538.64,3531.39,3531.39,299191,1056560136.62
2024-04-17,3559.73,3570.8,3545.3,3550.92,482589,1713635710.83
2024-04-18,3548.36,3549.66,3544.78,3546.84,253709,899864835.87
2024-04-19,3562.21,3574.4,3553.74,3554.19,469398,1668330961.25
2024-04-22,3580.99,3587.22,3576.79,3576.79,222049,794223674.3
2024-04-23,3593.85,3601.12,3575.7,3598.22,185277,666667911.95
2024-04-24,3598.86,3603.86,3596.36,3603.86,439757,1584821715.97
2024-04-25,3631.17,3637.33,3623.85,3629.9,342357,1242720349.51
2024-04-26,3605.54,3626.28,3597.4,3597.67,458935,1651098025.02
2024-04-29,3595.91,3611.18,3578.47,3601.02,265388,955667759.62
2024-04-30,3606.67,3608.82,3595.61,3601.3,476393,1715631810.38
2024-05-01,3603.18,3616.59,3585.6,3614.0,340570,1230819846.48
2024-05-02,3630.03,3634.32,3629.64,3629.64,491650,1784513760.45
2024-05-03,3613.28,3624.11,3607.61,3616.61,172525,623955586.22
2024-05-06,3622.32,3622.58,3617.71,3622.58,428962,1553950648.99
2024-05-07,3647.28,3660.03,3639.18,3642.79,412417,1502349039.6
2024-05-08,3674.04,3674.34,3654.51,3671.17,106019,389213699.73
2024-05-09,3681.15,3685.62,3668.66,3672.32,436048,1601307437.12
2024-05-10,3678.99,3686.03,3678.55,3679.53,478584,1760965828.78
2024-05-13,3701.96,3707.46,3695.68,3701.94,155789,576721558.17
2024-05-14,3724.91,3731.03,3716.1,3716.51,180131,669458023.18
2024-05-15,3724.73,3728.96,3703.08,3719.52,100299,373064463.71
2024-05-16,3720.06,3726.8,3712.81,3724.97,261225,973054509.03
2024-05-17,3740.52,3747.92,3736.82,3739.19,483730,1808756112.35
2024-05-20,3748.71,3749.05,3747.58,3747.58,167314,627022672.27
2024-05-21,3743.34,3763.78,3737.12,3751.78,418029,1568352982.47
2024-05-22,3757.97,3761.18,3742.28,3754.81,205461,771466969.41
2024-05-23,3766.74,3776.56,3762.17,3762.17,371358,1397111303.86
2024-05-24,3766.83,3769.1,3764.93,3767.48,390414,1470875347.06
2024-05-27,3784.29,3791.29,3771.55,3789.16,220031,833733136.93
2024-05-28,3808.09,3809.13,3802.27,3809.13,246002,937052640.66
2024-05-29,3819.48,3825.54,3803.7,3825.54,399391,1527887935.53
2024-05-30,3830.99,3834.42,3820.91,3832.37,149453,572758862.45
2024-05-31,3860.74,3866.81,3850.79,3864.88,482245,1863820080.94
2024-06-03,3900.45,3905.31,3898.31,3898.31,481793,1878176733.94
2024-06-04,3897.28,3914.12,3897.22,3902.47,335202,1308117412.66
2024-06-05,3923.25,3928.16,3903.43,3927.04,139523,547912558.75
2024-06-06,3913.63,3920.58,3910.57,3912.83,383423,1500269017.27
2024-06-07,3947.51,3970.12,3930.12,3940.58,187194,737652150.71
2024-06-10,3939.97,3946.32,3925.74,3927.0,186317,731666093.24
2024-06-11,3908.87,3928.89,3907.2,3922.81,338555,1328087568.09
2024-06-12,3930.91,3945.98,3928.77,3928.77,447011,1756205347.37
2024-06-13,3939.97,3945.66,3932.36,3945.66,403657,1592693076.58
2024-06-14,3957.81,3961.34,3956.56,3960.17,349974,1385958177.63
2024-06-17,3942.51,3942.86,3928.52,3942.86,142001,559889594.74
2024-06-18,3957.56,3960.59,3939.45,3960.59,311694,1234493034.4
2024-06-19,3994.59,4008.97,3994.27,4005.34,424734,1701202898.41
2024-06-20,4035.07,4042.29,4027.08,4032.29,236716,954508648.27
2024-06-21,4049.3,4064.52,4048.59,4057.31,452159,1834549565.15
2024-06-24,4056.26,4065.02,4035.12,4048.18,104883,424584738.85
2024-06-25,4004.71,4014.03,4000.81,4004.63,211754,847996417.64
2024-06-26,4004.87,4005.07,4002.67,4005.07,228075,913456057.22
2024-06-27,4006.87,4011.15,3999.04,3999.04,420695,1682375750.87
2024-06-28,4033.47,4035.31,4018.87,4031.32,390771,1575323978.71
2024-07-01,4030.56,4044.61,4025.58,4028.95,160517,646714859.41
2024-07-02,4053.48,4064.0,4048.93,4058.88,210430,854109137.95
2024-07-03,4061.88,4068.49,4056.68,4057.2,356131,1444895530.43
2024-07-04,4061.54,4083.4,4048.08,4065.1,245060,996194413.23
